site_id,name,label,description,lat,long,creek_id,creek_name
MSH061,Marsh Creek at Creekside Park,Creekside Park,Marsh Creek flows through Creekside Park and into a storm culvert outfall under a footbridge. This site is currently inactive.,37.92307,-121.71214,MSH,Marsh Creek
MSH090,Marsh Creek at 16000 Marsh Creek Rd.,16000 Marsh Creek Rd.,"Marsh Creek flows just south of Marsh Creek Road on the left of a grassy turnout near a house at the end of a long driveway. The area is populated by lots of foliage and the creek bed is mostly gravel. This site is monitored once a month for temperature, dissolved oxygen, conductivity, and pH. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.89041,-121.80266,MSH,Marsh Creek
MSH100,Marsh Creek at 14350 Marsh Creek Rd.,14350 Marsh Creek Rd.,"Marsh Creek flows underneath a large, log footbridge located west of a fire gate in a densely wooded area. The creek bed is mostly gravel. This site is monitored once a month for temperature, dissolved oxygen, conductivity, and pH. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.88409,-121.82498,MSH,Marsh Creek
MSH110,Marsh Creek at 2103 Marsh Creek Rd.,2103 Marsh Creek Rd.,"Marsh Creek passes right under the Marsh Creek Road Overpass. The banks of the creek are lined with plants including poison oak. The creek bed often has small rocks and cobble in it. This site is monitored once a month for temperature, dissolved oxygen, conductivity, and pH. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.8904,-121.84901,MSH,Marsh Creek
MSH120,Marsh Creek at Aspara Dr.,Aspara Dr.,"Marsh Creek flows through a concrete culvert and into a small park with a gazebo in it. The creek bed is mostly mud and there is lots of foliage in the area. This site is monitored once a month for temperature, dissolved oxygen, conductivity, and pH. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.89272,-121.85461,MSH,Marsh Creek
MSH130,Marsh Creek at Wright Canyon,Wright Canyon,"Marsh Creek at Wright Canyon, as it flows down Morgan Territory Rd.",37.88005,-121.86849,MSH,Marsh Creek
MSH140,Marsh Creek at Curry Canyon Ranch,Curry Creek Tributary,"Curry Creek is a tributary to Marsh Creek, which runs along Curry Canyon Rd. ",37.866692,-121.881836,MSH,Marsh Creek
SPA103,San Pablo Creek at El Sobrante Library,El Sobrante Library,"San Pablo Creek runs through a dense forest area 75 meters past a gate behind the El Sobrante Library. It is very common to see turkeys and deer in this area, particularly along the creek itself. The creek bed is mostly mud, sand, and gravel. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We also occasionally monitor the site for benthic macroinvertebrates. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.96670833,-122.3102278,SPA,San Pablo Creek
SPA108,San Pablo Creek at Appian Creek Tributary,Appian Creek Tributary,"Appian Creek runs alongside a parking lot and basketball court behind The Boy?s and Girl?s Club on Appian Way. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We also occasionally monitor the site for benthic macroinvertebrates. The south eastern bank of the creek is dominated by dense foliage and tall trees as well as trash. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.97248889,-122.30215,SPA,San Pablo Creek
SPA110,San Pablo Creek at Wilkie Creek Tributary,Wilkie Creek Tributary,"Willkie Creek runs through a small park right outside De Anza High School before flowing into two pipes underneath Santa Rita Road. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We also occasionally monitor the site for benthic macroinvertebrates. The creek in this area is dominated by a few large rocks as well as concrete cast to look like sandbags. Grass grows all around this area. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.96885,-122.2905194,SPA,San Pablo Creek
SPA129,San Pablo Creek at Castro Creek Tributary,Castro Creek Tributary,"Castro Creek comes out of the east side of a large, concrete culvert nestled between some houses. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. The creek flows between two concrete walls before flowing onward into a more natural area. Newts can be spotted here during certain times of the year. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.95559,-122.27021,SPA,San Pablo Creek
SPA180,San Pablo Creek at Manzanita Bridge,Manzanita Bridge,"San Pablo Creek passes under the Manzanita Bridge in a wide channel filled with pebbles and small rocks with large piles of boulders on either side. Small fish species are often seen here. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.89389,-122.20238,SPA,San Pablo Creek
SPA200,San Pablo Creek at Lauterwasser Creek Tributary under Bien Venida,Lauterwasser Creek Tributary at Bien Venida,"Lauterwasser Creek passes under the small bridge at Bien Venida Rd. It runs through part of the Orinda County Club and is a narrow creek among the dense foliage and redwoods. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.8926972,-122.1934752,SPA,San Pablo Creek
SPA210,San Pablo Creek at Lauterwasser Creek Tributary,Lauterwasser Creek Tributary,"Lauterwasser Creek runs out from underneath Lombardy Lane and into a small pool carved out from large rocks. The area is populated by lots of foliage including poison oak. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.90417,-122.1894,SPA,San Pablo Creek
SPA230,San Pablo Creek at Caldecott Creek Tributary,Caldecott Creek Tributary,"Caldecott Creek runs directly into San Pablo Creek at this junction located behind the Atma Yoga studio parking area. The creek is lined by medium rocks and large roots belonging to trees. It flows into a large pool which is part of San Pablo Creek. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.87719,-122.18211,SPA,San Pablo Creek
SPA231,San Pablo Creek at Brookwood Rd.,Brookwood Rd.,"San Pablo Creek runs out of a large effluent tube underneath the Brookside Road Intersection. It flows into large pool which the Caldecott Creek Tributary also flows into. The water in the pool is very murky and deep. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.87907,-122.18115,SPA,San Pablo Creek
SPA250,San Pablo Creek at Brookside Rd.,Brookside Rd.,"San Pablo Creek runs along the southern side of the McDonnell Nursery off of Brookside Road. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. The site is dominated by small rocks and foliage. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.86557,-122.17415,SPA,San Pablo Creek
SPA260,San Pablo Creek at Orchard Rd.,Orchard Rd.,"San Pablo Creek is piped underneath Orchard Road before coming out into a snug forested area and flowing northwest. The monitoring site is at the bottom of a large, medium-sized boulder pile leading down from the road. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.86399,-122.16773,SPA,San Pablo Creek
SUP030,Rheem Creek at Wanlass Park,Wanlass Park,"Rheem Creek flows underneath a small bridge leading into Wanlass Park. The banks of the creek are populated by dense foliage including lots of tall grass and, occasionally, cattails. Both area surrounding the creek and the creek itself are usually filled with trash and the water smells like sewage. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.97235,-122.34352,SUP,Rheem Creek
WAL030,Walnut Creek at Six Flags Hurricane Harbor ,Six Flags Hurricane Harbor ,"Walnut Creek runs along the I-680 and we monitor just before the inflow of Pine Creek. It is a wide and deep major creek with dense vegetation. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.9768957,-122.0526177,WAL,Walnut Creek
WAL031,Walnut Creek at Pine Creek,Six Flags Hurricane Harbor ,"Pine Creek just before it runs into the Walnut Creek at Six Flags Hurricane Harbor. It flows through dense vegetation with lot of birds. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.9768492,-122.0521402,WAL,Walnut Creek
WAL045,Walnut Creek at Highway-242,Highway-242,"Walnut Creek flows beneath SR-242 into a large open area between SR-242 and I-680. This area is right below a large, sloped, concrete embankment and past a fence. The banks of the creek are lined with large bushes and tall grass and the creek bed is covered in pebbles. Fish live here. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.96091,-122.05218,WAL,Walnut Creek
WAL080,Walnut Creek at Civic Park,Civic Park,"Walnut Creek runs through Civic Park just northeast of the main park entrance. It is located right off the creek trail. The area has lots of trees and grasses. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.90509,-122.05779,WAL,Walnut Creek
WIL040,Wildcat Creek at Verde Elementary,Verde Elementary,"Wildcat Creek passes underneath Giaramita Street, right in front of Verde Elementary School. The Wildcat Creek Trail runs alongside the creek in a large, open area. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. The creek bed is mostly mud and, depending on the time of year, there will be tall grass along the north side of the creek or none at all. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.96066944,-122.3636667,WIL,Wildcat Creek
WIL050,Wildcat Creek at Davis Park,Davis Park,"Wildcat Creek passes along the north side of the John Herbert Davis Park and underneath a foot bridge. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. In 2018 we also monitored the site for benthic macroinvertebrates. The sides of the channel here are dominated by dense foliage including vines, bushes, and trees. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.96200556,-122.3509306,WIL,Wildcat Creek
WIL060,Wildcat Creek at Vale Rd.,Vale Rd.,"Wildcat Creek passes under Vale Road in a concrete channel, and once a month we monitor on the downstream side for temperature, dissolved oxygen, conductivity, pH, and turbidity. Rocks and cobbles from upstream have been deposited on the bottom of the channel, which also supports a healthy amount of graffiti. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.95323056,-122.3385583,WIL,Wildcat Creek
WIL070,Wildcat Creek at Alvarado Park,Alvarado Park,"Wildcat Creek is piped under the Alvarado Staging Area before coming out into an open pool area which is used by kids and dogs, and supports a healthy newt population. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. It is the farthest upstream on Wildcat Creek that we monitor, and the bottom of the creek is dominated by large rocks. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.952075,-122.3197833,WIL,Wildcat Creek
SRA100,San Ramon Creek at Livorna Rd. ,Livorna Rd.,"San Ramon Creek runs under Livorna Rd. in a concrete channel and inside of a flood control district area. It is a wide creek with dense vegetation and some water fowl. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. In 2018 we also monitored the site for benthic macroinvertebrates. The sides of the channel here are dominated by dense foliage including vines, bushes, and trees. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.8629622,-122.0368463,SRA,San Ramon Creek
SRA120,San Ramon Creek at Hap Magee,Hap Magee,"San Ramon Creek runs along the Hap Magee Ranch Park and Dog Park. Our monitoring site is located right off the trail. The area has lots of trees and grasses. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.84049,-122.02046,SRA,San Ramon Creek
SRA141,San Ramon Creek at Green Valley Creek tributary,Green Valley Creek tributary,"Green Valley Creek Tributary, upstream of confluence with main stem San Ramon Creek. The area has lots of trees, bamboos, and grasses. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.82399,-121.99734,SRA,San Ramon Creek
SRA160,San Ramon Creek at Sycamore Valley Rd,Sycamore Valley Rd,"San Ramon Creek runs below the intersection withSycamore Valley Rd, and a trail extends from Freitas Rd. Our monitoring site is located right off the creek trail. The area has lots of grasses and is just after the fish ladder. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.81179,-121.98468,SRA,San Ramon Creek
SRA161,San Ramon Creek at Sycamore Creek Tributary,Sycamore Creek Tributary,"Sycamore Creek runs under the bridge at Morninghome Rd. and flows along Sycamore Valley Rd. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.81181,-121.98141,SRA,San Ramon Creek
SRA190,San Ramon Creek at Crow Canyon Rd.,Crow Canyon Rd.,"San Ramon Creek runs close to the development at 127 Park Place. This site doesn't have a trail or roads and is relatively isolated from the road with a lot of trees and  grasses. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments. ",37.77168,-121.98794,SRA,San Ramon Creek
PIN040,Pinole Creek at Henry Ave,Henry Ave,"Pinole Creek runs underneath Highway 80, and our monitoring site is shortly downstream of the highway at Henry Ave. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",37.99917,-122.28833,PIN,Pinole Creek
PIN020,Pinole Creek at Prune St,Prune St,"Pinole Creek runs under the bridge at Prune & Fernandez (Tennent Avenue Footbridge). This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where you?ll learn about the equipment we use and do observational assessments.",38.00416667,-122.28833,PIN,Pinole Creek
