name,description,category
Pyrethroids,"Pyrethroids are organic compounds, and are found in a variety of insecticide products. The use of pyrethroids is becoming more common with the decline of other more harmful pesticides. Nonetheless the presence of pyrethroids is found in creeks and streams through urban runoff and can be harmful to aquatic life forms when found in high levels.",Insecticides
Carbaryl,"Carbaryl is a chemical found in a variety of insecticide products, and while its level of toxicity varies, it is at minimum always considered moderately toxic. Carbaryl can found in creeks and streams via urban runoff as well and is harmful to aquatic life.",Insecticides
Fipronil,"Fipronil is a part of the phenylpyrazole chemical family and is a common insecticide used to control all sorts of animals including ants, beetles, cockroaches, ticks and fleas. Fipronil is also found in a range of products and is designed to kill pests when they come in contact with it. It is widely used in agriculture and thus can often end up in bodies of water. In high dosages fipronil is extremely toxic to fish and other plant and animal life.",Insecticides
Detergents,"Detergents are added to insecticides to increase their effectiveness by making the chemicals more soluble in water, and thus easier to spray and penetrate their intended targets. Detergents are much easier (and cheaper) to test for than insecticides, and can be used as a proxy in some cases. Other sources of detergents include washing cars and faulty greywater systems.",Insecticides
"PAHs, PCBs, PBDEs","Polycyclic aromatic hydrocarbons (PAHs), polychlorinated biphenyls (PCBs), and polybrominated diphenyl ethers (PBDEs) are all contaminants that have been found in lakes, streams and creeks. There are multiple mechanisms and pathways in which these contaminants enter our watersheds, including via stormwater runoff, wastewater treatment plant effluent, and even atmospheric processes. All of these contaminants are considered hazardous to aquatic and other forms of life.",Other Toxics
"Diesel, Motor Oil, Grease, Gasoline","These pollutants are commonly associated with cars and proximity to roads, and are hazardous to creek life.",Other Toxics
Trash,"The presence of trash in creeks is detrimental to life in the creek, either through pollution (batteries, paint cans, etc.), alteration of habitat, or the breakdown of trash into something that looks like food to creek life.",Other Toxics
Benthic Macroinvertebrates,"BMI are bottom-dwelling invertebrates, including many insects that spend part or all of their life in the creek. Each family of BMI are assigned a tolerance value that describes how much pollution they can live with, with a higher number indicates that the organism can put up with a lot of pollution, while organisms with a lower number need very clean water. A healthy stream would have a lot of low-tolerance-value bugs (examples: Mayflies, Stoneflies, and Caddisflies), and not too many high-tolerance-value bugs (snails and worms). By sampling a stream’s bugs, we can get an idea of the stream’s overall health.",Creek Bugs
"Water odor, clarity, color, flow, and the presence of things such as foam, scum, and plants","These are observations that can be made without the use of instruments, ideally by community members living on the creek or made in addition to collecting measurements of other parameters.",Observations
Restoration sites,"Restoration sites aim to improve creek health by restoring some aspects of a healthy creek, such as native vegetation on creek banks to stabilize them, vegetated buffers on either side of the creek to reduce direct stormwater input, and improving creek substrate.",Restoration Sites
